0,1,2,3
You Know That I Love You,Donell Jones,2002,hiphop
Welcome To Atlanta,Jermaine Dupri & Ludacris,2002,hiphop
What About Us?,Brandy,2002,hiphop
Roll Out (My Business),Ludacris,2002,hiphop
The Whole World,OutKast Featuring Killer Mike,2002,hiphop
Bouncin' Back (Bumpin' Me Against The Wall),Mystikal,2002,hiphop
Take Away,"Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet",2002,hiphop
Differences,Ginuwine,2002,hiphop
Down A** Chick,"Ja Rule Featuring Charli ""Chuck"" Baltimore",2002,hiphop
Gots Ta Be,B2K,2002,hiphop
Hey Ma,"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",2002,hiphop
Two Wrongs,Wyclef Jean Featuring Claudette Ortiz,2002,hiphop
Roc The Mic,Beanie Sigel & Freeway,2002,hiphop
Saturday (Oooh! Ooooh!),Ludacris Featuring Sleepy Brown,2002,hiphop
Lifetime,Maxwell,2002,hiphop
Break Ya Neck,Busta Rhymes,2002,hiphop
Family Affair,Mary J. Blige,2002,hiphop
Po' Folks,Nappy Roots Featuring Anthony Hamilton,2002,hiphop
What If A Woman,Joe,2002,hiphop
Trade It All,Fabolous Featuring P. Diddy & Jagged Edge,2002,hiphop
Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common,2002,hiphop
No More Drama,Mary J. Blige,2002,hiphop
Full Moon,Brandy,2002,hiphop
Brotha,Angie Stone,2002,hiphop
When The Last Time,Clipse,2002,hiphop
This Woman's Work,Maxwell,2002,hiphop
Young'n (Holla Back),Fabolous,2002,hiphop
One Mic,Nas,2002,hiphop
Gone,'N Sync,2002,hiphop
Burnin' Up,"Faith Evans Featuring Missy ""Misdemeanor"" Elliott",2002,hiphop
Cleanin' Out My Closet,Eminem,2002,hiphop
Uh Huh,B2K,2002,hiphop
Without Me,Eminem,2002,hiphop
You Gets No Love,Faith Evans,2002,hiphop
Wish I Didn't Miss You,Angie Stone,2002,hiphop
Say I Yi Yi,Ying Yang Twins,2002,hiphop
Let's Stay Home Tonight,Joe,2002,hiphop
Round And Round,Jonell & Method Man,2002,hiphop
Awnaw,Nappy Roots,2002,hiphop
Hey Luv (Anything),Mobb Deep Featuring 112,2002,hiphop
I'd Rather,Luther Vandross,2002,hiphop
Caramel,City High Featuring Eve,2002,hiphop
If I Could Go!,Angie Martinez Featuring Lil' Mo & Sacario,2002,hiphop
Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,2002,hiphop
Take Ya Home,Lil Bow Wow,2002,hiphop
In Da Wind,Trick Daddy Featuring Cee-Lo & Big Boi,2002,hiphop
"Girls, Girls, Girls",JAY-Z,2002,hiphop
'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,2002,hiphop
Any Other Night,Sharissa,2002,hiphop
Got Ur Self A...,Nas,2002,hiphop
React,Erick Sermon Featuring Redman,2002,hiphop
"My Neck, My Back",Khia Featuring DSD,2002,hiphop
Goodbye,Jagged Edge,2002,hiphop
In Da Club,50 Cent,2003,hiphop
Ignition,R. Kelly,2003,hiphop
Miss You,Aaliyah,2003,hiphop
So Gone,Monica,2003,hiphop
Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,2003,hiphop
Right Thurr,Chingy,2003,hiphop
21 Questions,50 Cent Featuring Nate Dogg,2003,hiphop
Get Busy,Sean Paul,2003,hiphop
How You Gonna Act Like That,Tyrese,2003,hiphop
Frontin',Pharrell Featuring Jay-Z,2003,hiphop
Can't Let You Go,Fabolous Featuring Mike Shorey & Lil' Mo,2003,hiphop
P.I.M.P.,50 Cent,2003,hiphop
I Know What You Want,Busta Rhymes & Mariah Carey Featuring The Flipmode Squad,2003,hiphop
Crazy In Love,Beyonce Featuring Jay Z,2003,hiphop
Beautiful,Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson,2003,hiphop
Baby Boy,Beyonce Featuring Sean Paul,2003,hiphop
Put That Woman First,Jaheim,2003,hiphop
Magic Stick,Lil' Kim Featuring 50 Cent,2003,hiphop
Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common,2003,hiphop
Damn!,YoungBloodZ Featuring Lil Jon,2003,hiphop
In Those Jeans,Ginuwine,2003,hiphop
Come Over,Aaliyah,2003,hiphop
Excuse Me Miss,JAY-Z,2003,hiphop
Into You,Fabolous Featuring Tamia Or Ashanti,2003,hiphop
Step In The Name Of Love,R. Kelly,2003,hiphop
Stand Up,Ludacris Featuring Shawnna,2003,hiphop
Say Yes,Floetry,2003,hiphop
Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",2003,hiphop
dontchange,Musiq,2003,hiphop
I Wish I Wasn't,Heather Headley,2003,hiphop
Rain On Me,Ashanti,2003,hiphop
Fabulous,Jaheim Featuring Tha Rayne,2003,hiphop
Wanksta,50 Cent,2003,hiphop
Rock Wit U (Awww Baby),Ashanti,2003,hiphop
The Jump Off,Lil' Kim Featuring Mr. Cheeks,2003,hiphop
Work It,"Missy ""Misdemeanor"" Elliott",2003,hiphop
I Can,Nas,2003,hiphop
Air Force Ones,"Nelly Featuring Kyjuan, Ali & Murphy Lee",2003,hiphop
No Letting Go,Wayne Wonder,2003,hiphop
"Bump, Bump, Bump",B2K & P. Diddy,2003,hiphop
All I Have,Jennifer Lopez Featuring LL Cool J,2003,hiphop
Never Scared,Bone Crusher Featuring Killer Mike & T.I.,2003,hiphop
Gossip Folks,"Missy ""Misdemeanor"" Elliott Featuring Ludacris",2003,hiphop
"Can't Stop, Won't Stop",Young Gunz,2003,hiphop
Emotional Rollercoaster,Vivian Green,2003,hiphop
"Never Leave You - Uh Ooh, Uh Oooh!",Lumidee,2003,hiphop
Walked Outta Heaven,Jagged Edge,2003,hiphop
Mesmerize,Ja Rule Featuring Ashanti,2003,hiphop
What Would You Do?,The Isley Brothers Featuring Ronald Isley,2003,hiphop
I Should Be...,Dru Hill,2003,hiphop
Like Glue,Sean Paul,2003,hiphop
Thugz Mansion,2Pac,2003,hiphop
Like A Pimp,David Banner Featuring Lil' Flip,2003,hiphop
4 Ever,Lil' Mo Featuring Fabolous,2003,hiphop
Sick Of Being Lonely,Field Mob,2003,hiphop
Snake,R. Kelly Featuring Big Tigger,2003,hiphop
Holidae In,Chingy Featuring Ludacris & Snoop Dogg,2003,hiphop
'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,2003,hiphop
Pump It Up,Joe Budden,2003,hiphop
Let's Get Down,Bow Wow Featuring Baby,2003,hiphop
Make It Clap,Busta Rhymes Featuring Spliff Star,2003,hiphop
The Way You Move,OutKast Featuring Sleepy Brown,2003,hiphop
Clubbin,Marques Houston Featuring Joe Budden & Pied Piper,2003,hiphop
I'll Never Leave,R. Kelly,2003,hiphop
Signs Of Love Makin',Tyrese,2003,hiphop
MADE YOU LOOK,Nas,2003,hiphop
Love Calls,Kem,2003,hiphop
Love At 1st Sight,Mary J. Blige Featuring Method Man,2003,hiphop
Luv U Better,LL Cool J,2003,hiphop
Lose Yourself,Eminem,2003,hiphop
Superstar,Ruben Studdard,2003,hiphop
Gimme The Light,Sean Paul,2003,hiphop
Dance With My Father,Luther Vandross,2003,hiphop
Cry Me A River,Justin Timberlake,2003,hiphop
I Care 4 U,Aaliyah,2003,hiphop
Read Your Mind,Avant,2003,hiphop
Hell Yeah,Ginuwine Featuring Baby,2003,hiphop
What Happened To That Boy,Baby Featuring Clipse,2003,hiphop
Guess What,Syleena Johnson,2003,hiphop
Paradise,LL Cool J Featuring Amerie,2003,hiphop
Ooh!,Mary J. Blige,2003,hiphop
Girlfriend,B2K,2003,hiphop
Come Close To Me,Common Featuring Mary J. Blige,2003,hiphop
Do That...,Baby Featuring P. Diddy,2003,hiphop
Satisfaction,Eve,2003,hiphop
Officially Missing You,Tamia,2003,hiphop
My Love Is Like... Wo,Mya,2003,hiphop
Realest N*ggas,The Notorious B.I.G. & 50 Cent,2003,hiphop
Act A Fool,Ludacris,2003,hiphop
When The Last Time,Clipse,2003,hiphop
Laundromat,Nivea,2003,hiphop
If I Can't,50 Cent,2003,hiphop
I Love You,Dru Hill,2003,hiphop
24's,T.I.,2003,hiphop
Wat Da Hook Gon Be,Murphy Lee Featuring Jermaine Dupri,2003,hiphop
What Up Gangsta,50 Cent,2003,hiphop
Beware Of The Boys (Mundian To Bach Ke),Panjabi MC Featuring Jay-Z,2003,hiphop
One Of Those Days,Whitney Houston,2003,hiphop
Still Ballin,2Pac Featuring Trick Daddy,2003,hiphop
If I Ain't Got You,Alicia Keys,2004,hiphop
Yeah!,Usher Featuring Lil Jon & Ludacris,2004,hiphop
Burn,Usher,2004,hiphop
Diary,Alicia Keys Featuring Tony! Toni! Tone!,2004,hiphop
Lean Back,Terror Squad,2004,hiphop
You Don't Know My Name,Alicia Keys,2004,hiphop
Jesus Walks,Kanye West,2004,hiphop
"Me, Myself And I",Beyonce,2004,hiphop
Slow Jamz,Twista Featuring Kanye West & Jamie Foxx,2004,hiphop
Confessions Part II,Usher,2004,hiphop
Slow Motion,Juvenile Featuring Soulja Slim,2004,hiphop
Goodies,Ciara Featuring Petey Pablo,2004,hiphop
The Way You Move,OutKast Featuring Sleepy Brown,2004,hiphop
Dirt Off Your Shoulder,JAY-Z,2004,hiphop
Sorry 2004,Ruben Studdard,2004,hiphop
Freek-A-Leek,Petey Pablo,2004,hiphop
Tipsy,J-Kwon,2004,hiphop
Splash Waterfalls,Ludacris,2004,hiphop
Overnight Celebrity,Twista,2004,hiphop
I Don't Wanna Know,Mario Winans Featuring Enya & P. Diddy,2004,hiphop
Read Your Mind,Avant,2004,hiphop
Step In The Name Of Love,R. Kelly,2004,hiphop
All Falls Down,Kanye West Featuring Syleena Johnson,2004,hiphop
Walked Outta Heaven,Jagged Edge,2004,hiphop
Why?,Jadakiss Featuring Anthony Hamilton,2004,hiphop
Hotel,Cassidy Featuring R. Kelly,2004,hiphop
Salt Shaker,Ying Yang Twins Featuring Lil Jon & The East Side Boyz,2004,hiphop
My Boo,Usher And Alicia Keys,2004,hiphop
U Should've Known Better,Monica,2004,hiphop
My Place,Nelly Featuring Jaheim,2004,hiphop
One Call Away,Chingy Featuring J. Weav,2004,hiphop
Locked Up,Akon Featuring Styles P.,2004,hiphop
Happy People,R. Kelly,2004,hiphop
On Fire,Lloyd Banks,2004,hiphop
Game Over (Flip),Lil' Flip,2004,hiphop
Sunshine,Lil' Flip Featuring Lea,2004,hiphop
Through The Wire,Kanye West,2004,hiphop
Damn!,YoungBloodZ Featuring Lil Jon,2004,hiphop
Headsprung,LL Cool J,2004,hiphop
Milkshake,Kelis,2004,hiphop
So Sexy,Twista Featuring R. Kelly,2004,hiphop
Think About You,Luther Vandross,2004,hiphop
Drop It Like It's Hot,Snoop Dogg Featuring Pharrell,2004,hiphop
Charlene,Anthony Hamilton,2004,hiphop
Rubber Band Man,T.I.,2004,hiphop
Naughty Girl,Beyonce,2004,hiphop
No Problem,Lil Scrappy,2004,hiphop
I'm Still In Love With You,Sean Paul Featuring Sasha,2004,hiphop
Hey Ya!,OutKast,2004,hiphop
Dude,Beenie Man Featuring Ms. Thing,2004,hiphop
Wanna Get To Know You,G-Unit Featuring Joe,2004,hiphop
Don't Take Your Love Away,Avant,2004,hiphop
Stand Up,Ludacris Featuring Shawnna,2004,hiphop
Change Clothes,JAY-Z,2004,hiphop
Nolia Clap,"Juvenile, Wacko & Skip",2004,hiphop
Still In Love,Teena Marie Featuring Baby,2004,hiphop
Move Ya Body,Nina Sky Featuring Jabba,2004,hiphop
More & More,Joe,2004,hiphop
Go D.J.,Lil Wayne,2004,hiphop
No Better Love,Young Gunz Featuring Rell,2004,hiphop
U Saved Me,R. Kelly,2004,hiphop
Roses,OutKast,2004,hiphop
Southside,Lloyd Featuring Ashanti,2004,hiphop
Call My Name,Prince,2004,hiphop
Runnin (Dying To Live),Tupac Featuring The Notorious B.I.G.,2004,hiphop
Stunt 101,G Unit,2004,hiphop
Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,2004,hiphop
Dip It Low,Christina Milian,2004,hiphop
I Can't Wait,Sleepy Brown Featuring OutKast,2004,hiphop
Let's Get Away,T.I.,2004,hiphop
In My Life,Juvenile Featuring Mannie Fresh,2004,hiphop
Breathe,Fabolous,2004,hiphop
Let Me In,Young Buck,2004,hiphop
"Breathe, Stretch, Shake",Mase Featuring P. Diddy,2004,hiphop
whoknows,Musiq,2004,hiphop
Dangerously In Love,Beyonce,2004,hiphop
I Like That,"Houston Featuring Chingy, Nate Dogg & I-20",2004,hiphop
Got It Twisted,Mobb Deep,2004,hiphop
Holidae In,Chingy Featuring Ludacris & Snoop Dogg,2004,hiphop
Lose My Breath,Destiny's Child,2004,hiphop
Wonderful,Ja Rule Featuring R. Kelly & Ashanti,2004,hiphop
Selfish,Slum Village Featuring Kanye West & John Legend,2004,hiphop
Talk About Our Love,Brandy Featuring Kanye West,2004,hiphop
You're My Everything,Anita Baker,2004,hiphop
Turn Me On,Kevin Lyttle Featuring Spragga Benz,2004,hiphop
Jook Gal (Wine Wine),Elephant Man,2004,hiphop
Wat Da Hook Gon Be,Murphy Lee Featuring Jermaine Dupri,2004,hiphop
Hush,LL Cool J Featuring 7 Aurelius,2004,hiphop
Neva Eva,Trillville,2004,hiphop
I Want You,Janet Jackson,2004,hiphop
Gangsta Nation,Westside Connection Featuring Nate Dogg,2004,hiphop
Gigolo,Nick Cannon Featuring R. Kelly,2004,hiphop
Welcome Back,Mase,2004,hiphop
Knuck If You Buck,Crime Mob Featuring Lil Scrappy,2004,hiphop
Flap Your Wings,Nelly,2004,hiphop
Forthenight,Musiq,2004,hiphop
Whats Happnin!,Ying Yang Twins Featuring Trick Daddy,2004,hiphop
You Don't Want Drama,8Ball & MJG Featuring P. Diddy,2004,hiphop
Shorty Wanna Ride,Young Buck,2004,hiphop
My Baby,Bow Wow Featuring Jagged Edge,2004,hiphop
Let Me Love You,Mario,2005,hiphop
We Belong Together,Mariah Carey,2005,hiphop
Truth Is,Fantasia,2005,hiphop
Drop It Like It's Hot,Snoop Dogg Featuring Pharrell,2005,hiphop
Slow Down,Bobby Valentino,2005,hiphop
Free Yourself,Fantasia,2005,hiphop
How We Do,The Game Featuring 50 Cent,2005,hiphop
Wait (The Whisper Song),Ying Yang Twins,2005,hiphop
Soldier,Destiny's Child Featuring T.I. & Lil Wayne,2005,hiphop
Cater 2 U,Destiny's Child,2005,hiphop
Ordinary People,John Legend,2005,hiphop
Must Be Nice,Lyfe Jennings,2005,hiphop
Gold Digger,Kanye West Featuring Jamie Foxx,2005,hiphop
"1, 2 Step",Ciara Featuring Missy Elliott,2005,hiphop
Oh,Ciara Featuring Ludacris,2005,hiphop
Some Cut,Trillville Featuring Cutty,2005,hiphop
Bring Em Out,T.I.,2005,hiphop
Disco Inferno,50 Cent,2005,hiphop
Like You,Bow Wow Featuring Ciara,2005,hiphop
U Already Know,112 Featuring Foxy Brown,2005,hiphop
Candy Shop,50 Cent Featuring Olivia,2005,hiphop
U Don't Know Me,T.I.,2005,hiphop
Let Me Hold You,Bow Wow Featuring Omarion,2005,hiphop
Shake It Off,Mariah Carey,2005,hiphop
1 Thing,Amerie,2005,hiphop
Soul Survivor,Young Jeezy Featuring Akon,2005,hiphop
Hate It Or Love It,The Game Featuring 50 Cent,2005,hiphop
Just A Lil Bit,50 Cent,2005,hiphop
I Can't Stop Loving You,Kem,2005,hiphop
O,Omarion,2005,hiphop
I'm A Hustla,Cassidy,2005,hiphop
Give Me That,Webbie Featuring Bun B,2005,hiphop
Play,David Banner,2005,hiphop
My Boo,Usher And Alicia Keys,2005,hiphop
Charlene,Anthony Hamilton,2005,hiphop
Run It!,Chris Brown,2005,hiphop
Karma,Lloyd Banks Featuring Avant,2005,hiphop
Wonderful,Ja Rule Featuring R. Kelly & Ashanti,2005,hiphop
Again,Faith Evans,2005,hiphop
Pimpin' All Over The World,Ludacris Featuring Bobby Valentino,2005,hiphop
Grind With Me,Pretty Ricky,2005,hiphop
Okay,Nivea Featuring Lil Jon & YoungBloodZ,2005,hiphop
Charlie Last Name: Wilson,Charlie Wilson,2005,hiphop
Number One Spot,Ludacris,2005,hiphop
Naked,Marques Houston,2005,hiphop
Girl Tonite,Twista Featuring Trey Songz,2005,hiphop
Dem Boyz,Boyz N Da Hood,2005,hiphop
Lose Control,Missy Elliott Featuring Ciara & Fat Man Scoop,2005,hiphop
Get Back,Ludacris,2005,hiphop
Make Her Feel Good,Teairra Mari,2005,hiphop
Trapped In The Closet,R. Kelly,2005,hiphop
Diary,Alicia Keys Featuring Tony! Toni! Tone!,2005,hiphop
I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",2005,hiphop
Hollaback Girl,Gwen Stefani,2005,hiphop
Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,2005,hiphop
Girl,Destiny's Child,2005,hiphop
Caught Up,Usher,2005,hiphop
Only U,Ashanti,2005,hiphop
What U Gon' Do,Lil Jon & The East Side Boyz Featuring Lil Scrappy,2005,hiphop
Gotta Go Gotta Leave (Tired),Vivian Green,2005,hiphop
In The Kitchen,R. Kelly,2005,hiphop
Unbreakable,Alicia Keys,2005,hiphop
So Seductive,Tony Yayo Featuring 50 Cent,2005,hiphop
How Could You,Mario,2005,hiphop
And Then What,Young Jeezy Featuring Mannie Fresh,2005,hiphop
Go D.J.,Lil Wayne,2005,hiphop
U Make Me Wanna,Jadakiss Featuring Mariah Carey,2005,hiphop
Lighters Up,Lil' Kim,2005,hiphop
Girlfight,Brooke Valentine Featuring Lil Jon & Big Boi,2005,hiphop
I Should Have Cheated,Keyshia Cole,2005,hiphop
Tell Me,Bobby Valentino,2005,hiphop
Karma,Alicia Keys,2005,hiphop
Baby Mama,Fantasia,2005,hiphop
Back Then,Mike Jones,2005,hiphop
Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,2005,hiphop
Welcome To Jamrock,"Damian ""Jr. Gong"" Marley",2005,hiphop
It's Like That,Mariah Carey,2005,hiphop
I'm Sprung,T-Pain,2005,hiphop
ASAP,T.I.,2005,hiphop
All Because Of You,Marques Houston Featuring Young Rome,2005,hiphop
Dreams,The Game,2005,hiphop
Gotta Make It,Trey Songz Featuring Twista,2005,hiphop
New York,Ja Rule Featuring Fat Joe & Jadakiss,2005,hiphop
Badd,Ying Yang Twins Featuring Mike Jones & Mr. ColliPark,2005,hiphop
Breathe,Fabolous,2005,hiphop
I'm A King,P$C Featuring T.I. & Lil Scrappy,2005,hiphop
Outta Control (Remix),50 Cent Featuring Mobb Deep,2005,hiphop
Shorty Wanna Ride,Young Buck,2005,hiphop
Let's Go,Trick Daddy Featuring Lil Jon & Twista,2005,hiphop
Diamonds From Sierra Leone,Kanye West,2005,hiphop
"Forever, For Always, For Love",Lalah Hathaway,2005,hiphop
Still Tippin',Mike Jones Featuring Slim Thug & Paul Wall,2005,hiphop
Let's Get Blown,Snoop Dogg,2005,hiphop
One Wish,Ray J,2005,hiphop
Laffy Taffy,D4L,2005,hiphop
Baby,Fabolous Featuring Mike Shorey,2005,hiphop
Get It Poppin',Fat Joe Featuring Nelly,2005,hiphop
Can't Satisfy Her,I-Wayne,2005,hiphop
Lose My Breath,Destiny's Child,2005,hiphop
Lost Without U,Robin Thicke,2006,hiphop
When I See U,Fantasia,2006,hiphop
Please Don't Go,Tank,2006,hiphop
Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,2006,hiphop
teachme,Musiq Soulchild,2006,hiphop
You,Lloyd Featuring Lil Wayne,2006,hiphop
Irreplaceable,Beyonce,2006,hiphop
Promise,Ciara,2006,hiphop
Buddy,Musiq Soulchild,2006,hiphop
Poppin',Chris Brown Featuring Jay Biz,2006,hiphop
Until The End Of Time,Justin Timberlake Duet With Beyonce,2006,hiphop
Let It Go,Keyshia Cole Featuring Missy Elliott & Lil Kim,2006,hiphop
Shawty,Plies Featuring T-Pain,2006,hiphop
Bed,J. Holiday,2006,hiphop
I'm A Flirt,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),2006,hiphop
Make Me Better,Fabolous Featuring Ne-Yo,2006,hiphop
Do You,Ne-Yo,2006,hiphop
Throw Some D's,Rich Boy Featuring Polow Da Don,2006,hiphop
Ice Box,Omarion,2006,hiphop
I Wanna Love You,Akon Featuring Snoop Dogg,2006,hiphop
Walk It Out,Unk,2006,hiphop
Same Girl,R. Kelly Duet With Usher,2006,hiphop
This Is Why I'm Hot,Mims,2006,hiphop
Wipe Me Down,Lil Boosie Featuring Foxx & Webbie,2006,hiphop
Runaway Love,Ludacris Featuring Mary J. Blige,2006,hiphop
Get Me Bodied,Beyonce,2006,hiphop
Party Like A Rockstar,Shop Boyz,2006,hiphop
Crank That (Soulja Boy),Soulja Boy Tell'em,2006,hiphop
Take Me As I Am,Mary J. Blige,2006,hiphop
No One,Alicia Keys,2006,hiphop
Rock Yo Hips,Crime Mob Featuring Lil Scrappy,2006,hiphop
Make It Rain,Fat Joe Featuring Lil Wayne,2006,hiphop
We Fly High,Jim Jones,2006,hiphop
My Love,Justin Timberlake Featuring T.I.,2006,hiphop
"Pop, Lock & Drop It",Huey,2006,hiphop
On The Hotline,Pretty Ricky,2006,hiphop
Like This,Kelly Rowland Featuring Eve,2006,hiphop
Because Of You,Ne-Yo,2006,hiphop
Umbrella,Rihanna Featuring Jay-Z,2006,hiphop
Get It Shawty,Lloyd,2006,hiphop
Last Night,Diddy Featuring Keyshia Cole,2006,hiphop
Big Things Poppin' (Do It),T.I.,2006,hiphop
2 Step,Unk,2006,hiphop
Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin,2006,hiphop
Upgrade U,Beyonce Featuring Jay Z,2006,hiphop
Like A Boy,Ciara,2006,hiphop
If I Was Your Man,Joe,2006,hiphop
Top Back,T.I.,2006,hiphop
Don't Matter,Akon,2006,hiphop
Can U Believe,Robin Thicke,2006,hiphop
Bartender,T-Pain Featuring Akon,2006,hiphop
In My Songs,Gerald Levert,2006,hiphop
Go Getta,Young Jeezy Featuring R. Kelly,2006,hiphop
A Bay Bay,Hurricane Chris,2006,hiphop
Duffle Bag Boy,Playaz Circle Featuring Lil Wayne,2006,hiphop
Hood Figga,Gorilla Zoe,2006,hiphop
That's That,Snoop Dogg Featuring R. Kelly,2006,hiphop
Can't Leave 'Em Alone,Ciara Featuring 50 Cent,2006,hiphop
Outta My System,Bow Wow Featuring T-Pain & Johnta Austin,2006,hiphop
Int'l Players Anthem (I Choose You),UGK Featuring OutKast,2006,hiphop
Shawty Is A 10,The-Dream,2006,hiphop
Kiss Kiss,Chris Brown Featuring T-Pain,2006,hiphop
How Do I Breathe,Mario,2006,hiphop
Change Me,Ruben Studdard,2006,hiphop
1st Time,Yung Joc Featuring Marques Houston & Trey Songz,2006,hiphop
And I Am Telling You I'm Not Going,Jennifer Hudson,2006,hiphop
I Luv It,Young Jeezy,2006,hiphop
Tambourine,Eve,2006,hiphop
Good Life,Kanye West Featuring T-Pain,2006,hiphop
Anonymous,Bobby Valentino Featuring Timbaland,2006,hiphop
I Get Money,50 Cent,2006,hiphop
Sexy Lady,Yung Berg Featuring Junior,2006,hiphop
You Know What It Is,T.I. Featuring Wyclef Jean,2006,hiphop
Cupid Shuffle,Cupid,2006,hiphop
DJ Don't,Gerald Levert,2006,hiphop
Can't Help But Wait,Trey Songz,2006,hiphop
Can't Tell Me Nothing,Kanye West,2006,hiphop
My Drink N' My 2 Step,Cassidy Featuring Swizz Beatz,2006,hiphop
Can't Get Enough,Tamia,2006,hiphop
If I Have My Way,Chrisette Michele,2006,hiphop
Beautiful Girls,Sean Kingston,2006,hiphop
One,Tyrese,2006,hiphop
Freaky Gurl,Gucci Mane,2006,hiphop
Money In The Bank,Lil Scrappy Featuring Young Buck,2006,hiphop
Make Ya Feel Beautiful,Ruben Studdard,2006,hiphop
I'm So Hood,"DJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies",2006,hiphop
Stuntin' Like My Daddy,Birdman & Lil Wayne,2006,hiphop
Me,Tamia,2006,hiphop
Wall To Wall,Chris Brown,2006,hiphop
Come With Me,Sammie,2006,hiphop
Baby,Angie Stone Featuring Betty Wright,2006,hiphop
Shoulda Let You Go,Keyshia Cole Introducing Amina,2006,hiphop
We Takin' Over,"DJ Khaled Featuring T.I., Akon, Rick Ross, Fat Joe, Lil' Wayne & Baby",2006,hiphop
Be Without You,Mary J. Blige,2006,hiphop
Hood Boy,Fantasia Featuring Big Boi,2006,hiphop
Let's Stay Together,Lyfe Jennings,2006,hiphop
Lost One,Jay-Z Featuring Chrisette Michele,2006,hiphop
Used To Be My Girl,Brian McKnight,2006,hiphop
We Ride ((I See The Future)),Mary J. Blige,2006,hiphop
Wouldn't Get Far,The Game Featuring Kanye West,2006,hiphop
Lost Without U,Robin Thicke,2007,hiphop
When I See U,Fantasia,2007,hiphop
Please Don't Go,Tank,2007,hiphop
Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,2007,hiphop
teachme,Musiq Soulchild,2007,hiphop
You,Lloyd Featuring Lil Wayne,2007,hiphop
Irreplaceable,Beyonce,2007,hiphop
Promise,Ciara,2007,hiphop
Buddy,Musiq Soulchild,2007,hiphop
Poppin',Chris Brown Featuring Jay Biz,2007,hiphop
