0,1,2,3
Cracklin' Rosie,Neil Diamond,1970,rock
Give Me Just a Little More Time,Chairmen Of The Board,1970,rock
Bridge Over Troubled Water,Simon & Garfunkel,1970,rock
Thank You (Falettinme Be Mice Elf Agin)/Everybody Is a Star,Sly And The Family Stone,1970,rock
Band of Gold,Freda Payne,1970,rock
American Woman,The Guess Who,1970,rock
ABC,The Jackson 5,1970,rock
I Think I Love You,The Partridge Family,1970,rock
"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,1970,rock
The Tears of a Clown,The Miracles,1970,rock
House of the Rising Sun,Frijid Pink,1970,rock
Ain't No Mountain High Enough,Diana Ross,1970,rock
25 or 6 to 4,Chicago,1970,rock
Patches,Clarence Carter,1970,rock
Kentucky Rain,Elvis Presley,1970,rock
Question,The Moody Blues,1970,rock
The Long and Winding Road,The Beatles,1970,rock
Don't Play That Song,Aretha Franklin,1970,rock
No Matter What,Badfinger,1970,rock
Make It with You,Bread,1970,rock
I Hear You Knocking,Dave Edmunds,1970,rock
Fire and Rain,James Taylor,1970,rock
Engine Number 9,Wilson Pickett,1970,rock
Ooh Child,Five Stairsteps,1970,rock
Neanderthal Man,Hotlegs,1970,rock
Precious Precious,Jackie Moore,1970,rock
Let's Work Together,Canned Heat,1970,rock
I'll Be There,The Jackson 5,1970,rock
Lola,The Kinks,1970,rock
Groove Me,King Floyd,1970,rock
Lonely Days,Bee Gees,1970,rock
It's a Shame,The Spinners,1970,rock
If You Could Read My Mind,Gordon Lightfoot,1970,rock
The Love You Save,The Jackson 5,1970,rock
Voodoo Chile,Jimi Hendrix Experience,1970,rock
War,Edwin Starr,1970,rock
You Don't Have to Say You Love Me,Elvis Presley,1970,rock
All Right Now,Free,1970,rock
Yellow River,Christie,1970,rock
Get Ready,Rare Earth,1970,rock
Rainy Night in Georgia,Brook Benton,1970,rock
Cecilia,Simon & Garfunkel,1970,rock
Black Magic Woman,Santana,1970,rock
Psychedelic Shack,The Temptations,1970,rock
Spill the Wine,War,1970,rock
Paranoid,Black Sabbath,1970,rock
Mama Told Me (Not to Come),Three Dog Night,1970,rock
Apeman,The Kinks,1970,rock
Come and Get It,Badfinger,1970,rock
I've Lost You,Elvis Presley,1970,rock
Lookin' Out My Back Door,Creedence Clearwater Revival,1970,rock
(I Know) I'm Losing You,Rare Earth,1970,rock
Your Song,Elton John,1970,rock
Teacher,Jethro Tull,1970,rock
Cotton Fields,The Beach Boys,1970,rock
Cry Me a River,Joe Cocker,1970,rock
It Don't Matter to Me,Bread,1970,rock
Evil Ways,Santana,1970,rock
Make Me Smile,Chicago,1970,rock
Love the One You're with,Stephen Stills,1970,rock
Share the Land,The Guess Who,1970,rock
Big Yellow Taxi,Joni Mitchell,1970,rock
Patch It Up,Elvis Presley,1970,rock
Woodstock,"Crosby, Stills & Nash",1970,rock
Celebrate,Three Dog Night,1970,rock
Lady D'Arbanville,Cat Stevens,1970,rock
The Letter,Joe Cocker,1970,rock
Out in the Country,Three Dog Night,1970,rock
He Ain't Heavy...He's My Brother,Neil Diamond,1970,rock
El Condor Pasa,Simon & Garfunkel,1970,rock
Love Like a Man,Ten Years After,1970,rock
Teach Your Children,"Crosby, Stills & Nash",1970,rock
Hi-De-Ho,"Blood, Sweat & Tears",1970,rock
Up Around the Bend,Creedence Clearwater Revival,1970,rock
"See Me, Feel Me",The Who,1970,rock
Immigrant Song,Led Zeppelin,1970,rock
Solitary Man,Neil Diamond,1970,rock
Strange Band,Family,1970,rock
Rag Mama Rag,The Band,1970,rock
Victoria,The Kinks,1970,rock
Joanne,Michael Nesmith,1970,rock
Ohio,"Crosby, Stills & Nash",1970,rock
Shilo,Neil Diamond,1970,rock
Travellin' Band,Creedence Clearwater Revival,1970,rock
Born to Wander,Rare Earth,1970,rock
We Gotta Get You a Woman,Todd Rundgren,1970,rock
Mississippi Queen,Mountain,1970,rock
"Hand Me Down, World",The Guess Who,1970,rock
Hold On,The Rascals,1970,rock
One Man Band,Three Dog Night,1970,rock
Closer to Home,Grand Funk Railroad,1970,rock
Long Long Time,Linda Ronstadt,1970,rock
Chestnut Mare,The Byrds,1970,rock
Have You Seen Her,The Chi-Lites,1971,rock
Family Affair,Sly And The Family Stone,1971,rock
What's Going On,Marvin Gaye,1971,rock
A Horse with No Name,America,1971,rock
Let's Stay Together,Al Green,1971,rock
Maggie May,Rod Stewart,1971,rock
You've Got a Friend,James Taylor,1971,rock
Joy to the World,Three Dog Night,1971,rock
Get It On (Bang a Gong),T. Rex,1971,rock
Bring the Boys Home,Freda Payne,1971,rock
You Are Everything,The Stylistics,1971,rock
Spanish Harlem,Aretha Franklin,1971,rock
I Feel the Earth Move,Carole King,1971,rock
Tired of Being Alone,Al Green,1971,rock
Baby I'm-a Want You,Bread,1971,rock
Clean Up Woman,Betty Wright,1971,rock
It's Too Late,Carole King,1971,rock
Just My Imagination (Running Away with Me),The Temptations,1971,rock
Brown Sugar,The Rolling Stones,1971,rock
(For God's Sake) Give More Power to the People,The Chi-Lites,1971,rock
"Take Me Home, Country Roads",John Denver,1971,rock
Whatcha See Is Whatcha Get,The Dramatics,1971,rock
Day After Day,Badfinger,1971,rock
Mercy Mercy Me (The Ecology),Marvin Gaye,1971,rock
Uncle Albert,Paul McCartney,1971,rock
Sunshine,Jonathan Edwards,1971,rock
Respect Yourself,The Staple Singers,1971,rock
American Pie,Don McLean,1971,rock
Smiling Faces Sometimes,The Undisputed Truth,1971,rock
All I Ever Need Is You,Sonny and Cher,1971,rock
The Witch Queen of New Orleans,Redbone,1971,rock
Inner City Blues (Make Me Wanna Holler),Marvin Gaye,1971,rock
Stay with Me,The Faces,1971,rock
Baby Jump,Mungo Jerry,1971,rock
If,Bread,1971,rock
Never Can Say Goodbye,The Jackson 5,1971,rock
Trapped by a Thing Called Love,Denise LaSalle,1971,rock
An Old Fashioned Love Song,Three Dog Night,1971,rock
Want Ads,Honey Cone,1971,rock
Got to Be There,Michael Jackson,1971,rock
Won't Get Fooled Again,The Who,1971,rock
Co-Co,The Sweet,1971,rock
Blue Money,Van Morrison,1971,rock
Theme from Shaft,Isaac Hayes,1971,rock
Riders on the Storm,The Doors,1971,rock
Jeepster,T. Rex,1971,rock
Mr. Big Stuff,Jean Knight,1971,rock
Peace Train,Cat Stevens,1971,rock
Drowning in the Sea of Love,Joe Simon,1971,rock
Never Been to Spain,Three Dog Night,1971,rock
Timothy,The Buoys,1971,rock
It's One of Those Nights (Yes Love),The Partridge Family,1971,rock
Do You Know What I Mean,Lee Michaels,1971,rock
Sweet Hitch-Hiker,Creedence Clearwater Revival,1971,rock
I Just Want to Celebrate,Rare Earth,1971,rock
In My Own Time,Family,1971,rock
It Don't Come Easy,Ringo Starr,1971,rock
Bangla Desh,George Harrison,1971,rock
That's the Way I've Always Heard It Should Be,Carly Simon,1971,rock
Layla,Derek and the Dominos,1971,rock
Imagine,John Lennon,1971,rock
I Just Can't Help Believing,Elvis Presley,1971,rock
Have You Ever Seen the Rain,Creedence Clearwater Revival,1971,rock
Me and Bobby McGee,Janis Joplin,1971,rock
One Toke Over the Line,Brewer & Shipley,1971,rock
Anticipation,Carly Simon,1971,rock
Moon Shadow,Cat Stevens,1971,rock
Neverending Song of Love,Delaney & Bonnie,1971,rock
So Far Away,Carole King,1971,rock
Wild World,Cat Stevens,1971,rock
What Is Life,George Harrison,1971,rock
Free,Chicago,1971,rock
Oye Como Va,Santana,1971,rock
Love Her Madly,The Doors,1971,rock
I Woke Up in Love This Morning,The Partridge Family,1971,rock
Everybody's Everything,Santana,1971,rock
Tomorrow Night,Atomic Rooster,1971,rock
Life Is a Long Song,Jethro Tull,1971,rock
Liar,Three Dog Night,1971,rock
Rain Dance,The Guess Who,1971,rock
Behind Blue Eyes,The Who,1971,rock
Hey Big Brother,Rare Earth,1971,rock
"Funny, Funny",The Sweet,1971,rock
Watching the River Flow,Bob Dylan,1971,rock
Only You Know and I Know,Delaney & Bonnie,1971,rock
Wild Night,Van Morrison,1971,rock
Fireball,Deep Purple,1971,rock
The Story in Your Eyes,The Moody Blues,1971,rock
High Time We Went,Joe Cocker,1971,rock
Long Ago and Far Away,James Taylor,1971,rock
Levon,Elton John,1971,rock
(I Know) I'm Losing You,Rod Stewart,1971,rock
Walk Away,The James Gang,1971,rock
Albert Flasher,The Guess Who,1971,rock
Black Dog,Led Zeppelin,1971,rock
Eighteen,Alice Cooper,1971,rock
Wild Horses,The Rolling Stones,1971,rock
Let Your Love Go,Bread,1971,rock
Mother,John Lennon,1971,rock
Where You Lead,Barbra Streisand,1971,rock
Crocodile Rock,Elton John,1972,rock
Layla,Derek And The Dominos,1972,rock
Papa Was a Rollin' Stone,The Temptations,1972,rock
Heart of Gold,Neil Young,1972,rock
Freddie's Dead,Curtis Mayfield,1972,rock
Vincent,Don McLean,1972,rock
Back Stabbers,The O'Jays,1972,rock
I Can See Clearly Now,Johnny Nash,1972,rock
Burning Love,Elvis Presley,1972,rock
I'm Still in Love with You,Al Green,1972,rock
Don't Do It,The Band,1972,rock
You're So Vain,Carly Simon,1972,rock
Rock and Roll (Part 2),Gary Glitter,1972,rock
Look What You Done for Me,Al Green,1972,rock
Slippin' into Darkness,War,1972,rock
If You Don't Know Me by Now,Harold Melvin & The Blue Notes,1972,rock
Starting All Over Again,Mel And Tim,1972,rock
Hold Your Head Up,Argent,1972,rock
Morning Has Broken,Cat Stevens,1972,rock
(If Loving You Is Wrong) I Don't Want To Be Right,Luther Ingram,1972,rock
"Betcha by Golly, Wow",The Stylistics,1972,rock
Black and White,Three Dog Night,1972,rock
Super Fly,Curtis Mayfield,1972,rock
Join Together,The Who,1972,rock
Rock and Roll Lullaby,B.J. Thomas,1972,rock
Tumbling Dice,The Rolling Stones,1972,rock
Could It Be I'm Falling in Love,The Spinners,1972,rock
Metal Guru,T. Rex,1972,rock
The World Is a Ghetto,War,1972,rock
Telegram Sam,T. Rex,1972,rock
I Wanna Be Where You Are,Michael Jackson,1972,rock
Everything I Own,Bread,1972,rock
Mother and Child Reunion,Paul Simon,1972,rock
Oh Girl!,The Chi-Lites,1972,rock
Your Mama Don't Dance,Kenny Loggins & Jim Messina,1972,rock
The Jean Genie,David Bowie,1972,rock
I'll Be Around,The Spinners,1972,rock
Elected,Alice Cooper,1972,rock
School's Out,Alice Cooper,1972,rock
I'm Stone in love with You,The Stylistics,1972,rock
Saturday in the Park,Chicago,1972,rock
All the Young Dudes,Mott the Hoople,1972,rock
Rockin' Robin,Michael Jackson,1972,rock
Run to Me,Bee Gees,1972,rock
Why Can't We Live Together,Timmy Thomas,1972,rock
The Guitar Man,Bread,1972,rock
Do It Again,Steely Dan,1972,rock
You Wear It Well,Rod Stewart,1972,rock
Brandy (You're a Fine Girl),Looking Glass,1972,rock
Donna,10cc,1972,rock
I'll Take You There,The Staple Singers,1972,rock
Stay with Me,Faces,1972,rock
I Didn't Know I Loved You (Till I Saw You Rock and Roll),Gary Glitter,1972,rock
Rocket Man,Elton John,1972,rock
Go All the Way,The Raspberries,1972,rock
Summer Breeze,Seals & Crofts,1972,rock
Until It's Time for You to Go,Elvis Presley,1972,rock
Lady Eleanor,Lindisfarne,1972,rock
Honky Cat,Elton John,1972,rock
Ventura Highway,America,1972,rock
Silver Machine,Hawkwind,1972,rock
A Cowboy's Work Is Never Done,Sonny and Cher,1972,rock
Long Cool Woman (In a Black Dress),The Hollies,1972,rock
Me and Julio Down by the Schoolyard,Paul Simon,1972,rock
Virginia Plain,Roxy Music,1972,rock
You Don't Mess Around with Jim,Jim Croce,1972,rock
Back Off Boogaloo,Ringo Starr,1972,rock
Good Time Charlie's Got the Blues,Danny O'Keefe,1972,rock
Sweet Seasons,Carole King,1972,rock
Looking Through the Eyes of Love,The Partridge Family,1972,rock
Doctor My Eyes,Jackson Browne,1972,rock
I Need You,America,1972,rock
Isn't Life Strange,The Moody Blues,1972,rock
Sweet Surrender,Bread,1972,rock
Witchy Woman,Eagles,1972,rock
Feelin' Stronger Every Day,Chicago,1972,rock
An American Trilogy,Elvis Presley,1972,rock
I Wanna Be with You,The Raspberries,1972,rock
Don't Let Me Be Lonely Tonight,James Taylor,1972,rock
Starman,David Bowie,1972,rock
Garden Party,Rick Nelson,1972,rock
Living in the Past,Jethro Tull,1972,rock
Take It Easy,Eagles,1972,rock
Listen to the Music,The Doobie Brothers,1972,rock
Dreidel,Don McLean,1972,rock
10538 Overture,Electric Light Orchestra,1972,rock
Happy,The Rolling Stones,1972,rock
Roundabout,Yes,1972,rock
The Family of Man,Three Dog Night,1972,rock
America,Simon & Garfunkel,1972,rock
Pieces of April,Three Dog Night,1972,rock
Sitting,Cat Stevens,1972,rock
Operator (That's Not the Way It Feels),Jim Croce,1972,rock
Alive,Bee Gees,1972,rock
Been to Canaan,Carole King,1972,rock
Baby Blue,Badfinger,1972,rock
Easy Livin',Uriah Heep,1972,rock
Crazy Mama,J.J. Cale,1972,rock
Lay Down,The Strawbs,1972,rock
After Midnight,J.J. Cale,1972,rock
Drift Away,Dobie Gray,1973,rock
My Love,Paul McCartney,1973,rock
Let's Get It On,Marvin Gaye,1973,rock
You're Sixteen,Ringo Starr,1973,rock
Superstition,Stevie Wonder,1973,rock
Daniel,Elton John,1973,rock
Call Me (Come Back Home),Al Green,1973,rock
You're So Vain,Carly Simon,1973,rock
Angie,The Rolling Stones,1973,rock
Midnight Train to Georgia,Gladys Knight & The Pips,1973,rock
Photograph,Ringo Starr,1973,rock
Could It Be I'm Falling in Love,The Spinners,1973,rock
Give Me Love (Give Me Peace On Earth),George Harrison,1973,rock
You Are the Sunshine of My Life,Stevie Wonder,1973,rock
Goodbye Yellow Brick Road,Elton John,1973,rock
"You Turn Me On, I'm a Radio",Joni Mitchell,1973,rock
Rock On,David Essex,1973,rock
Stir It Up,Johnny Nash,1973,rock
Time in a Bottle,Jim Croce,1973,rock
Love Train,The O'Jays,1973,rock
Brother Louie,Stories,1973,rock
"Bad, Bad Leroy Brown",Jim Croce,1973,rock
Kodachrome,Simon Paul,1973,rock
Right Place Wrong Time,Dr. John,1973,rock
"Say, Has Anybody Seen My Sweet Gypsy Rose",Dawn,1973,rock
Loves Me Like a Rock,Paul Simon,1973,rock
One of a Kind (Love Affair),The Spinners,1973,rock
The Cisco Kid,War,1973,rock
The Joker,Steve Miller Band,1973,rock
Rockin' Roll Baby,The Stylistics,1973,rock
Do It Again,Steely Dan,1973,rock
Stuck in the Middle with You,Stealers Wheel,1973,rock
Armed and Extremely Dangerous,First Choice,1973,rock
Rubber Bullets,10cc,1973,rock
Live and Let Die,Wings,1973,rock
I Can't Stand the Rain,Ann Peebles,1973,rock
Shambala,Three Dog Night,1973,rock
That Lady (Part 1),The Isley Brothers,1973,rock
Just You 'N' Me,Chicago,1973,rock
The Love I Lost (Part 1),Harold Melvin & The Blue Notes,1973,rock
The Ballroom Blitz,The Sweet,1973,rock
Radar Love,Golden Earring,1973,rock
Neither One of Us (Wants to Be the First to Say Goodbye),Gladys Knight & The Pips,1973,rock
Cindy Incidentally,The Faces,1973,rock
I'll Always Love My Mama (Part 1),The Intruders,1973,rock
Saturday Night's Alright for Fighting,Elton John,1973,rock
Misdemeanor,Foster Sylvers,1973,rock
Part of the Union,The Strawbs,1973,rock
Angel,Aretha Franklin,1973,rock
Smoke on the Water,Deep Purple,1973,rock
Soul Makossa,Manu Dibango,1973,rock
The Show Must Go On,Leo Sayer,1973,rock
Love Jones,Brighter Side of Darkness,1973,rock
Hello! Hello! I'm Back Again,Gary Glitter,1973,rock
I Believe in You (You Believe in Me),Johnnie Taylor,1973,rock
Natural High,Bloodstone,1973,rock
Sorrow,David Bowie,1973,rock
Do You Wanna Touch Me? (Oh Yeah),Gary Glitter,1973,rock
Helen Wheels,Paul McCartney,1973,rock
Frankenstein,Edgar Winter,1973,rock
Diamond Girl,Seals & Crofts,1973,rock
Caroline,Status Quo,1973,rock
All I Know,Art Garfunkel,1973,rock
The Fool,Elvis Presley,1973,rock
Hello Hooray,Alice Cooper,1973,rock
Life on Mars?,David Bowie,1973,rock
We're an American Band,Grand Funk Railroad,1973,rock
Drive-In Saturday,David Bowie,1973,rock
Roll Over Beethoven,Electric Light Orchestra,1973,rock
Knockin' on Heaven's Door,Bob Dylan,1973,rock
Giving It All Away,Roger Daltrey,1973,rock
I Got a Name,Jim Croce,1973,rock
Long Train Running,The Doobie Brothers,1973,rock
Ramblin' Man,The Allman Brothers Band,1973,rock
Lamplight,David Essex,1973,rock
Mind Games,John Lennon,1973,rock
Whisky in the Jar,Thin Lizzy,1973,rock
I'm Just a Singer (in a Rock and Roll Band),The Moody Blues,1973,rock
Wishing Well,Free,1973,rock
Take Me to the Mardi Gras,Paul Simon,1973,rock
Reelin' in the Years,Steely Dan,1973,rock
Aubrey,Bread,1973,rock
Who's in the Strawberry Patch with Sally,Dawn,1973,rock
All the Way from Memphis,Mott the Hoople,1973,rock
Showdown,Electric Light Orchestra,1973,rock
Teenage Lament '74,Alice Cooper,1973,rock
Roll Away the Stone,Mott the Hoople,1973,rock
Paper Plane,Status Quo,1973,rock
Hello It's Me,Todd Rundgren,1973,rock
Street Life,Roxy Music,1973,rock
Rocky Mountain Way,Joe Walsh,1973,rock
Joybringer,Manfred Mann,1973,rock
Broken Down Angel,Nazareth,1973,rock
Money,Pink Floyd,1973,rock
Walk on the Wild Side,Lou Reed,1973,rock
We May Never Pass This Way (Again),Seals & Crofts,1973,rock
My Music,Kenny Loggins & Jim Messina,1973,rock
No More Mr. Nice Guy,Alice Cooper,1973,rock
Thinking of You,Kenny Loggins & Jim Messina,1973,rock
China Grove,The Doobie Brothers,1973,rock
Living for the City,Stevie Wonder,1974,rock
You Make Me Feel Brand New,The Stylistics,1974,rock
The Air That I Breathe,The Hollies,1974,rock
Sundown,Gordon Lightfoot,1974,rock
Then Came You,Dionne Warwick,1974,rock
Best of My Love,Eagles,1974,rock
Rock Your Baby,George McCrae,1974,rock
I Can Help,Billy Swan,1974,rock
The Loco-Motion,Grand Funk Railroad,1974,rock
Don't Let the Sun Go Down on Me,Elton John,1974,rock
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,1974,rock
You Haven't Done Nothin',Stevie Wonder,1974,rock
Bennie and the Jets,Elton John,1974,rock
Let's Get Married,Al Green,1974,rock
Black Water,The Doobie Brothers,1974,rock
Jet,Paul McCartney & Wings,1974,rock
Mighty Love (Part 1),The Spinners,1974,rock
Band on the Run,Paul McCartney & Wings,1974,rock
Cat's in the Cradle,Harry Chapin,1974,rock
Put Your Hands Together,The O'Jays,1974,rock
Killer Queen,Queen,1974,rock
I've Got to Use My Imagination,Gladys Knight & The Pips,1974,rock
Hooked on a Feeling,Blue Swede,1974,rock
TSOP (The Sound of Philadelphia),MFSB,1974,rock
Long Tall Glasses (I Can Dance),Leo Sayer,1974,rock
Rock the Boat,The Hues Corporation,1974,rock
You're No Good,Linda Ronstadt,1974,rock
Another Saturday Night,Cat Stevens,1974,rock
When Will I See You Again,The Three Degrees,1974,rock
Don't You Worry 'Bout a Thing,Stevie Wonder,1974,rock
Let's Put It All Together,The Stylistics,1974,rock
My Mistake (Was to Love YOU),Marvin Gaye,1974,rock
Midnight at the Oasis,Maria Muldaur,1974,rock
Can't Get Enough,Bad Company,1974,rock
Sideshow,Blue Magic,1974,rock
Jazzman,Carole King,1974,rock
Lookin'for a Love,Bobby Womack,1974,rock
Keep On Smilin',Wet Willie,1974,rock
Mockingbird,Carly Simon & James Taylor,1974,rock
The Show Must Go On,Three Dog Night,1974,rock
Only You,Ringo Starr,1974,rock
Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin,1974,rock
Tin Man,America,1974,rock
Promised Land,Elvis Presley,1974,rock
Lonely People,America,1974,rock
Everlasting Love,Carl Carlton,1974,rock
Waterloo,Abba,1974,rock
Love's Theme,Love Unlimited Orchestra,1974,rock
For the Love of Money,The O'Jays,1974,rock
Some Kind of Wonderful,Grand Funk Railroad,1974,rock
Beach Baby,First Class,1974,rock
Everyday,Slade,1974,rock
This Town Ain't Big Enough for Both of Us,Sparks,1974,rock
Tubular Bells,Mike Oldfield,1974,rock
Call on Me,Chicago,1974,rock
Whatever Gets You Thru the Night,John Lennon,1974,rock
Oh My My,Ringo Starr,1974,rock
I Shot the Sheriff,Eric Clapton,1974,rock
I'll Have to Say I Love You in a Song,Jim Croce,1974,rock
Clap for the Wolfman,The Guess Who,1974,rock
Come and Get Your Love,Redbone,1974,rock
#9 Dream,John Lennon,1974,rock
Steppin' Out (Gonna Boogie Tonight),Dawn,1974,rock
Lady,Styx,1974,rock
Rikki Don't Lose That Number,Steely Dan,1974,rock
Oh Very Young,Cat Stevens,1974,rock
The Bitch Is Back,Elton John,1974,rock
Rebel Rebel,David Bowie,1974,rock
(I've Been) Searchin' So Long,Chicago,1974,rock
Can't Get It Out of My Head,Electric Light Orchestra,1974,rock
Carefree Highway,Gordon Lightfoot,1974,rock
If You Talk in Your Sleep,Elvis Presley,1974,rock
Sweet Home Alabama,Lynyrd Skynyrd,1974,rock
Wishing You Were Here,Chicago,1974,rock
It's Only Rock 'n' Roll (But I Like It),The Rolling Stones,1974,rock
Knock on Wood,David Bowie,1974,rock
Never My Love,Blue Swede,1974,rock
One Man Band,Leo Sayer,1974,rock
Farewell,Rod Stewart,1974,rock
Amateur Hour,Sparks,1974,rock
Haven't Got Time for the Pain,Carly Simon,1974,rock
Takin' Care of Business,Bachman-Turner Overdrive,1974,rock
Bungle in the Jungle,Jethro Tull,1974,rock
Break the Rules,Status Quo,1974,rock
The Six Teens,The Sweet,1974,rock
Help Me,Joni Mitchell,1974,rock
Shinin' On,Grand Funk Railroad,1974,rock
Willie and the Hand Jive,Eric Clapton,1974,rock
Dark Horse,George Harrison,1974,rock
The Wall Street Shuffle,10cc,1974,rock
Candle in the Wind,Elton John,1974,rock
Seven Seas of Rhye,Queen,1974,rock
Sure As I'm Sittin' Here,Three Dog Night,1974,rock
All I Want Is You,Roxy Music,1974,rock
Piano Man,Billy Joel,1974,rock
Must of Got Lost,The J. Geils Band,1974,rock
Ain't Too Proud to Beg,The Rolling Stones,1974,rock
The in Crowd,Bryan Ferry,1974,rock
Never Turn Your Back on Mother Earth,Sparks,1974,rock
Overnight Sensation (Hit Record),Raspberries,1974,rock
"December, 1963 (Oh, What a Night)",The Four Seasons,1975,rock
Bad Luck (Part 1),Harold Melvin & The Blue Notes,1975,rock
I'm Not in Love,10cc,1975,rock
"Shame, Shame, Shame",Shirley And Company,1975,rock
Bohemian Rhapsody,Queen,1975,rock
Lady Marmalade,Labelle,1975,rock
Why Can't We Be Friends,War,1975,rock
Listen to What the Man Said,Paul McCartney,1975,rock
Third Rate Romance,The Amazing Rhythm Aces,1975,rock
